Area,Year,Food_supply
Africa,1990,2289.9202
Africa,1991,2312.0295
Africa,1992,2307.5857
Africa,1993,2314.494
Africa,1994,2331.125
Africa,1995,2354.2485
Africa,1996,2366.3481
Africa,1997,2377.727
Africa,1998,2397.5564
Africa,1999,2406.8005
Africa,2000,2405.397
Africa,2001,2426.624
Africa,2002,2438.8184
Africa,2003,2443.792
Africa,2004,2455.2612
Africa,2005,2485.3298
Africa,2006,2503.2144
Africa,2007,2504.659
Africa,2008,2519.8955
Africa,2009,2526.4946
Africa,2010,2570.7744
Africa,2011,2575.3567
Africa,2012,2581.1523
Africa,2013,2580.6047
Africa,2014,2585.195
Africa,2015,2578.2583
Africa,2016,2564.28
Africa,2017,2572.1155
Africa,2018,2575.0974
Africa,2019,2578.2585
Africa,2020,2579.5566
Africa,2021,2573.0354
Asia,1990,2415.6228
Asia,1991,2403.2888
Asia,1992,2433.567
Asia,1993,2445.3547
Asia,1994,2482.0515
Asia,1995,2525.8203
Asia,1996,2536.0762
Asia,1997,2547.4758
Asia,1998,2558.3933
Asia,1999,2571.8992
Asia,2000,2578.5212
Asia,2001,2562.0452
Asia,2002,2552.1987
Asia,2003,2556.279
Asia,2004,2564.4426
Asia,2005,2576.0498
Asia,2006,2597.5198
Asia,2007,2638.34
Asia,2008,2662.4165
Asia,2009,2668.6836
Asia,2010,2699.5613
Asia,2011,2728.6948
Asia,2012,2741.9146
Asia,2013,2752.8438
Asia,2014,2804.5361
Asia,2015,2808.2153
Asia,2016,2825.0793
Asia,2017,2858.633
Asia,2018,2869.2327
Asia,2019,2880.7468
Asia,2020,2895.3328
Asia,2021,2926.7107
Europe,1990,3374.7402
Europe,1991,3239.536
Europe,1992,3240.7075
Europe,1993,3205.368
Europe,1994,3166.4983
Europe,1995,3164.5042
Europe,1996,3170.5017
Europe,1997,3175.0417
Europe,1998,3211.2131
Europe,1999,3218.1404
Europe,2000,3233.5466
Europe,2001,3272.4287
Europe,2002,3309.1333
Europe,2003,3298.0537
Europe,2004,3327.045
Europe,2005,3346.813
Europe,2006,3378.5698
Europe,2007,3393.4067
Europe,2008,3400.9634
Europe,2009,3383.6335
Europe,2010,3368.6047
Europe,2011,3387.0574
Europe,2012,3375.3315
Europe,2013,3376.5605
Europe,2014,3367.8406
Europe,2015,3361.0784
Europe,2016,3376.1008
Europe,2017,3391.672
Europe,2018,3400.7842
Europe,2019,3426.458
Europe,2020,3442.6985
Europe,2021,3455.5237
North America,1990,3277.1533
North America,1991,3290.3254
North America,1992,3302.7822
North America,1993,3324.9204
North America,1994,3362.5447
North America,1995,3298.416
North America,1996,3310.987
North America,1997,3349.6416
North America,1998,3366.9998
North America,1999,3385.0623
North America,2000,3448.3245
North America,2001,3433.7544
North America,2002,3484.4011
North America,2003,3478.0703
North America,2004,3494.766
North America,2005,3493.3625
North America,2006,3471.483
North America,2007,3463.4973
North America,2008,3418.7534
North America,2009,3382.9556
North America,2010,3440.1985
North America,2011,3439.433
North America,2012,3461.5056
North America,2013,3453.014
North America,2014,3451.6306
North America,2015,3462.1191
North America,2016,3490.0503
North America,2017,3502.5654
North America,2018,3523.0884
North America,2019,3563.3286
North America,2020,3575.2944
North America,2021,3587.4087
Oceania,1990,3131.793
Oceania,1991,3080.402
Oceania,1992,3084.7612
Oceania,1993,3037.2893
Oceania,1994,3042.6235
Oceania,1995,3084.4446
Oceania,1996,3068.1047
Oceania,1997,3090.7524
Oceania,1998,3030.0996
Oceania,1999,3029.7642
Oceania,2000,3014.333
Oceania,2001,3051.3618
Oceania,2002,3074.9106
Oceania,2003,3094.7944
Oceania,2004,3064.4404
Oceania,2005,3112.725
Oceania,2006,3157.933
Oceania,2007,3196.2942
Oceania,2008,3200.8416
Oceania,2009,3192.6868
Oceania,2010,3136.7693
Oceania,2011,3142.6282
Oceania,2012,3171.636
Oceania,2013,3170.883
Oceania,2014,3161.459
Oceania,2015,3138.4602
Oceania,2016,3146.944
Oceania,2017,3120.72
Oceania,2018,3104.937
Oceania,2019,3117.5703
Oceania,2020,3112.649
Oceania,2021,3086.5422
South America,1990,2587.8816
South America,1991,2645.0986
South America,1992,2669.1873
South America,1993,2672.9675
South America,1994,2707.8577
South America,1995,2714.916
South America,1996,2728.9302
South America,1997,2734.152
South America,1998,2728.1016
South America,1999,2755.6318
South America,2000,2780.3083
South America,2001,2787.962
South America,2002,2762.435
South America,2003,2848.9363
South America,2004,2864.2925
South America,2005,2875.554
South America,2006,2897.184
South America,2007,2916.9773
South America,2008,2977.5247
South America,2009,2961.7097
South America,2010,3039.338
South America,2011,3062.6199
South America,2012,3050.4187
South America,2013,3067.8372
South America,2014,3103.557
South America,2015,3071.3293
South America,2016,3026.8743
South America,2017,3038.5786
South America,2018,3064.4832
South America,2019,3075.6394
South America,2020,3078.6125
South America,2021,3108.2722
World,1990,2584.987
World,1991,2563.796
World,1992,2571.5698
World,1993,2573.471
World,1994,2594.9998
World,1995,2617.24
World,1996,2625.3508
World,1997,2637.0264
World,1998,2648.4878
World,1999,2659.9111
World,2000,2669.0793
World,2001,2664.2761
World,2002,2664.5488
World,2003,2668.9592
World,2004,2678.3098
World,2005,2689.6255
World,2006,2704.79
World,2007,2729.3635
World,2008,2744.0269
World,2009,2741.0806
World,2010,2798.4038
World,2011,2817.7883
World,2012,2837.3748
World,2013,2844.001
World,2014,2874.5525
World,2015,2872.4336
World,2016,2880.2603
World,2017,2903.0867
World,2018,2912.9768
World,2019,2930.6604
World,2020,2940.4165
World,2021,2959.1067
